springcleaning22_german.json | [s] None => 34163 | [h] None => 526b19dc8f | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_greek.json | [s] None => 35095 | [h] None => 18e9951760 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_hungarian.json | [s] None => 33137 | [h] None => f9189a54bc | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_italian.json | [s] None => 38150 | [h] None => 31cf01ea33 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_japanese.json | [s] None => 21274 | [h] None => fcaebbedba | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_korean.json | [s] None => 21302 | [h] None => 65c8dd42d3 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_koreana.json | [s] None => 21302 | [h] None => 4ac20ea1d5 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_latam.json | [s] None => 35950 | [h] None => d88c1b11bc | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_norwegian.json | [s] None => 31229 | [h] None => ac3d4d7070 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_polish.json | [s] None => 35607 | [h] None => 0fdc5d9d76 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_portuguese.json | [s] None => 36050 | [h] None => 2f12877370 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_romanian.json | [s] None => 38877 | [h] None => e2ddaa7a6c | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_russian.json | [s] None => 34098 | [h] None => e9dc34fd1a | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_schinese.json | [s] None => 16324 | [h] None => ee88b23ded | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_spanish.json | [s] None => 35845 | [h] None => 63538df9d2 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_swedish.json | [s] None => 31794 | [h] None => 74ec6a5b72 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_tchinese.json | [s] None => 16638 | [h] None => c9bf8957e8 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_thai.json | [s] None => 30533 | [h] None => fa0a19d862 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_turkish.json | [s] None => 33216 | [h] None => 7cb7c4f271 | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_ukrainian.json | [s] None => 36255 | [h] None => 34e650765b | 2023-11-16 13:28:23 (UTC+3)
springcleaning22_vietnamese.json | [s] None => 30304 | [h] None => 1c4ce86ec7 | 2023-11-16 13:28:23 (UTC+3)
